id,time,values
3,2023:01:01 15:23:41,1926.4
1,2023:01:01 15:24:11,2264.8
2,2023:01:01 15:24:11,2744.6
3,2023:01:01 15:24:11,2380.5
1,2023:01:01 15:24:41,1589
2,2023:01:01 15:24:41,672.9
3,2023:01:01 15:24:41,2437
1,2023:01:01 15:25:11,1535
2,2023:01:01 15:25:11,1500.6
3,2023:01:01 15:25:11,3110.1
1,2023:01:01 15:25:41,2439.3
2,2023:01:01 15:25:41,354.8
3,2023:01:01 15:25:41,1962.9
1,2023:01:01 15:26:11,1262.3
2,2023:01:01 15:26:11,2408.4
3,2023:01:01 15:26:11,1995.4
1,2023:01:01 15:26:41,1875.6
2,2023:01:01 15:26:41,1184
3,2023:01:01 15:26:41,496.6
1,2023:01:01 15:27:11,737.6
2,2023:01:01 15:27:11,1393.1
3,2023:01:01 15:27:11,2630.8
1,2023:01:01 15:27:41,1694.4
2,2023:01:01 15:27:41,3243.9
3,2023:01:01 15:27:41,2462.6
1,2023:01:01 15:28:11,1132.3
2,2023:01:01 15:28:11,553.7
3,2023:01:01 15:28:11,2153.8
1,2023:01:01 15:28:41,1611.8
2,2023:01:01 15:28:41,208.2
3,2023:01:01 15:28:41,2292.9
1,2023:01:01 15:29:11,1654.1
2,2023:01:01 15:29:11,483.3
3,2023:01:01 15:29:11,3111.5
1,2023:01:01 15:29:41,463.9
2,2023:01:01 15:29:41,2965.8
3,2023:01:01 15:29:41,2270.4
1,2023:01:01 15:30:11,993
2,2023:01:01 15:30:11,1397.7
3,2023:01:01 15:30:11,230.6
1,2023:01:01 15:30:41,3167.3
2,2023:01:01 15:30:41,2238.6
3,2023:01:01 15:30:41,502.1
1,2023:01:01 15:31:11,2874.5
2,2023:01:01 15:31:11,2692.4
3,2023:01:01 15:31:11,1907.2
1,2023:01:01 15:31:41,627
2,2023:01:01 15:31:41,582.9
3,2023:01:01 15:31:41,2677.7
1,2023:01:01 15:32:11,1557.3
2,2023:01:01 15:32:11,509.7
3,2023:01:01 15:32:11,1651.2
1,2023:01:01 15:32:41,2398.6
2,2023:01:01 15:32:41,1329
3,2023:01:01 15:32:41,916.1
1,2023:01:01 15:33:11,1863.6
2,2023:01:01 15:33:11,2235.5
3,2023:01:01 15:33:11,2476.7
1,2023:01:01 15:33:41,2365.5
2,2023:01:01 15:33:41,1557.4
3,2023:01:01 15:33:41,403.1
1,2023:01:01 15:34:11,1205.2
2,2023:01:01 15:34:11,2735
3,2023:01:01 15:34:11,115
1,2023:01:01 15:34:41,1694.1
2,2023:01:01 15:34:41,2172.4
3,2023:01:01 15:34:41,1396.6
1,2023:01:01 15:35:11,343
2,2023:01:01 15:35:11,3110.7
3,2023:01:01 15:35:11,3019.1
1,2023:01:01 15:35:41,1800.7
2,2023:01:01 15:35:41,1133.7
3,2023:01:01 15:35:41,1545.7
1,2023:01:01 15:36:11,1228.7
2,2023:01:01 15:36:11,2775.3
3,2023:01:01 15:36:11,1038.3
1,2023:01:01 15:36:41,1494.5
2,2023:01:01 15:36:41,890.9
3,2023:01:01 15:36:41,3220.9
1,2023:01:01 15:37:11,975.8
2,2023:01:01 15:37:11,2422.1
3,2023:01:01 15:37:11,1858.8
1,2023:01:01 15:37:41,642.2
2,2023:01:01 15:37:41,2494.6
3,2023:01:01 15:37:41,2750.6
1,2023:01:01 15:38:11,1303
2,2023:01:01 15:38:11,1641.3
3,2023:01:01 15:38:11,2916.8
1,2023:01:01 15:38:41,90
2,2023:01:01 15:38:41,3259.1
3,2023:01:01 15:38:41,1876.2
1,2023:01:01 15:39:11,165.5
2,2023:01:01 15:39:11,1741
3,2023:01:01 15:39:11,635.9
1,2023:01:01 15:39:41,2762.4
2,2023:01:01 15:39:41,2053.7
3,2023:01:01 15:39:41,2154.8
1,2023:01:01 15:40:11,648.3
2,2023:01:01 15:40:11,2759.5
3,2023:01:01 15:40:11,404.1
1,2023:01:01 15:40:41,360.2
2,2023:01:01 15:40:41,2435
3,2023:01:01 15:40:41,1029.1
1,2023:01:01 15:41:11,3083.6
2,2023:01:01 15:41:11,937.4
3,2023:01:01 15:41:11,1102
1,2023:01:01 15:41:41,459.6
2,2023:01:01 15:41:41,2402.1
3,2023:01:01 15:41:41,2734.8
1,2023:01:01 15:42:11,2319.9
2,2023:01:01 15:42:11,1966.8
3,2023:01:01 15:42:11,2448.4
1,2023:01:01 15:42:41,828.1
2,2023:01:01 15:42:41,473.4
3,2023:01:01 15:42:41,5.3
1,2023:01:01 15:43:11,199.9
2,2023:01:01 15:43:11,2641.8
3,2023:01:01 15:43:11,2793.8
1,2023:01:01 15:43:41,690
2,2023:01:01 15:43:41,378.8
3,2023:01:01 15:43:41,1812.7
1,2023:01:01 15:44:11,46.7
2,2023:01:01 15:44:11,372.8
3,2023:01:01 15:44:11,1489.3
1,2023:01:01 15:44:41,2464.8
2,2023:01:01 15:44:41,2248.3
3,2023:01:01 15:44:41,1780.7
1,2023:01:01 15:45:11,242.1
2,2023:01:01 15:45:11,1431
3,2023:01:01 15:45:11,661.7
1,2023:01:01 15:45:41,2281.3
2,2023:01:01 15:45:41,951.4
3,2023:01:01 15:45:41,1430.9
1,2023:01:01 15:46:11,761.6
2,2023:01:01 15:46:11,1893.5
3,2023:01:01 15:46:11,1745.1
1,2023:01:01 15:46:41,2060
2,2023:01:01 15:46:41,524.9
3,2023:01:01 15:46:41,1651.9
1,2023:01:01 15:47:11,3155.6
2,2023:01:01 15:47:11,2279.8
3,2023:01:01 15:47:11,3030.3
1,2023:01:01 15:47:41,622.4
2,2023:01:01 15:47:41,1100.8
3,2023:01:01 15:47:41,584.4
1,2023:01:01 15:48:11,3260.9
2,2023:01:01 15:48:11,1498.9
3,2023:01:01 15:48:11,3270.2
1,2023:01:01 15:48:41,319.5
2,2023:01:01 15:48:41,2048.5
3,2023:01:01 15:48:41,309.3
1,2023:01:01 15:49:11,1434.3
2,2023:01:01 15:49:11,3052.3
3,2023:01:01 15:49:11,158.7
1,2023:01:01 15:49:41,2931.4
2,2023:01:01 15:49:41,950.3
3,2023:01:01 15:49:41,744.8
1,2023:01:01 15:50:11,2520
2,2023:01:01 15:50:11,1345.8
3,2023:01:01 15:50:11,661.8
1,2023:01:01 15:50:41,2058
2,2023:01:01 15:50:41,1979.6
3,2023:01:01 15:50:41,1479.8
1,2023:01:01 15:51:11,1528.1
2,2023:01:01 15:51:11,1958.9
3,2023:01:01 15:51:11,2079.8
1,2023:01:01 15:51:41,2800.9
2,2023:01:01 15:51:41,2715.7
3,2023:01:01 15:51:41,2047.2
1,2023:01:01 15:52:11,2362.2
2,2023:01:01 15:52:11,1853.8
3,2023:01:01 15:52:11,1229.2
1,2023:01:01 15:52:41,603.8
2,2023:01:01 15:52:41,2417.9
3,2023:01:01 15:52:41,1819
1,2023:01:01 15:53:11,2965.7
2,2023:01:01 15:53:11,795.8
3,2023:01:01 15:53:11,619.1
1,2023:01:01 15:53:41,1981.5
2,2023:01:01 15:53:41,2288.8
3,2023:01:01 15:53:41,1915.6
1,2023:01:01 15:54:11,1151.1
2,2023:01:01 15:54:11,1620.2
3,2023:01:01 15:54:11,263.4
1,2023:01:01 15:54:41,2427.2
2,2023:01:01 15:54:41,2005.5
3,2023:01:01 15:54:41,2032.8
1,2023:01:01 15:55:11,2264.6
2,2023:01:01 15:55:11,2636.2
3,2023:01:01 15:55:11,488.6
1,2023:01:01 15:55:41,1887.5
2,2023:01:01 15:55:41,2843.3
3,2023:01:01 15:55:41,2986.9
1,2023:01:01 15:56:11,2014.2
2,2023:01:01 15:56:11,2384.4
3,2023:01:01 15:56:11,141.6
1,2023:01:01 15:56:41,2188.1
2,2023:01:01 15:56:41,3199.8
3,2023:01:01 15:56:41,1032.2
1,2023:01:01 15:57:11,1865.1
2,2023:01:01 15:57:11,1002.1
3,2023:01:01 15:57:11,569.9
1,2023:01:01 15:57:41,355.7
2,2023:01:01 15:57:41,2847.6
3,2023:01:01 15:57:41,2789.2
1,2023:01:01 15:58:11,2438.9
2,2023:01:01 15:58:11,507.5
3,2023:01:01 15:58:11,1071.2
1,2023:01:01 15:58:41,260
2,2023:01:01 15:58:41,251
3,2023:01:01 15:58:41,2100.3
1,2023:01:01 15:59:11,2686.9
2,2023:01:01 15:59:11,1786.1
3,2023:01:01 15:59:11,1468.8
1,2023:01:01 15:59:41,1340.1
2,2023:01:01 15:59:41,978.9
3,2023:01:01 15:59:41,1525.5
1,2023:01:01 16:00:11,1642.3
2,2023:01:01 16:00:11,500.2
3,2023:01:01 16:00:11,1058.5
1,2023:01:01 16:00:41,2418.2
2,2023:01:01 16:00:41,1028.5
3,2023:01:01 16:00:41,2708.8
1,2023:01:01 16:01:11,3142.6
2,2023:01:01 16:01:11,2861.7
3,2023:01:01 16:01:11,2375.7
1,2023:01:01 16:01:41,983.2
2,2023:01:01 16:01:41,3093.2
3,2023:01:01 16:01:41,416.9
1,2023:01:01 16:02:11,215.4
2,2023:01:01 16:02:11,2572.1
3,2023:01:01 16:02:11,1718.9
1,2023:01:01 16:02:41,1997.6
2,2023:01:01 16:02:41,3132.9
3,2023:01:01 16:02:41,236.8
1,2023:01:01 16:03:11,2869.2
2,2023:01:01 16:03:11,2142.5
3,2023:01:01 16:03:11,1055.5
1,2023:01:01 16:03:41,343.4
2,2023:01:01 16:03:41,1654.9
3,2023:01:01 16:03:41,744.1
1,2023:01:01 16:04:11,951.2
2,2023:01:01 16:04:11,3014.5
3,2023:01:01 16:04:11,1806
1,2023:01:01 16:04:41,2171.8
2,2023:01:01 16:04:41,375.3
3,2023:01:01 16:04:41,1613.9
1,2023:01:01 16:05:11,1242.3
2,2023:01:01 16:05:11,1627.9
3,2023:01:01 16:05:11,2599.6
1,2023:01:01 16:05:41,1668.7
2,2023:01:01 16:05:41,1252.9
3,2023:01:01 16:05:41,2254.9
1,2023:01:01 16:06:11,1743.7
2,2023:01:01 16:06:11,1986.6
3,2023:01:01 16:06:11,1294.9
1,2023:01:01 16:06:41,19.3
2,2023:01:01 16:06:41,2319.5
3,2023:01:01 16:06:41,329.7
1,2023:01:01 16:07:11,2041.6
2,2023:01:01 16:07:11,2828.6
3,2023:01:01 16:07:11,1610.5
1,2023:01:01 16:07:41,2448.8
2,2023:01:01 16:07:41,1628.2
3,2023:01:01 16:07:41,1245.5
1,2023:01:01 16:08:11,2573.4
2,2023:01:01 16:08:11,1811.4
3,2023:01:01 16:08:11,1170.1
1,2023:01:01 16:08:41,3131.6
2,2023:01:01 16:08:41,2067.1
3,2023:01:01 16:08:41,578.6
1,2023:01:01 16:09:11,1226.3
2,2023:01:01 16:09:11,431.3
3,2023:01:01 16:09:11,2435.5
1,2023:01:01 16:09:41,3118.5
2,2023:01:01 16:09:41,2005.3
3,2023:01:01 16:09:41,91.2
1,2023:01:01 16:10:11,1080.8
2,2023:01:01 16:10:11,183.2
3,2023:01:01 16:10:11,2094.5
1,2023:01:01 16:10:41,431.3
2,2023:01:01 16:10:41,2775.6
3,2023:01:01 16:10:41,2832.1
1,2023:01:01 16:11:11,1955.8
2,2023:01:01 16:11:11,2364.6
3,2023:01:01 16:11:11,2798.2
1,2023:01:01 16:11:41,48.1
2,2023:01:01 16:11:41,414.4
3,2023:01:01 16:11:41,2319.6
1,2023:01:01 16:12:11,2022.2
2,2023:01:01 16:12:11,712.9
3,2023:01:01 16:12:11,216.1
1,2023:01:01 16:12:41,553.5
2,2023:01:01 16:12:41,2045
3,2023:01:01 16:12:41,1117.3
1,2023:01:01 16:13:11,1046.6
2,2023:01:01 16:13:11,1204.4
3,2023:01:01 16:13:11,2165.9
1,2023:01:01 16:13:41,2629.2
2,2023:01:01 16:13:41,2643.9
3,2023:01:01 16:13:41,1725.3
1,2023:01:01 16:14:11,2002.4
2,2023:01:01 16:14:11,2615.4
3,2023:01:01 16:14:11,2951
1,2023:01:01 16:14:41,474.5
2,2023:01:01 16:14:41,2064.9
3,2023:01:01 16:14:41,1318.6
1,2023:01:01 16:15:11,831.3
2,2023:01:01 16:15:11,447.4
3,2023:01:01 16:15:11,2802.2
1,2023:01:01 16:15:41,216.8
2,2023:01:01 16:15:41,1401.8
3,2023:01:01 16:15:41,1878.7
1,2023:01:01 16:16:11,990.5
2,2023:01:01 16:16:11,1795.8
3,2023:01:01 16:16:11,739.1
1,2023:01:01 16:16:41,1020.2
2,2023:01:01 16:16:41,362.5
3,2023:01:01 16:16:41,2647.7
1,2023:01:01 16:17:11,441.4
2,2023:01:01 16:17:11,931.4
3,2023:01:01 16:17:11,2582.4
1,2023:01:01 16:17:41,2933.4
2,2023:01:01 16:17:41,2587.4
3,2023:01:01 16:17:41,2437.2
1,2023:01:01 16:18:11,2015.9
2,2023:01:01 16:18:11,1183.3
3,2023:01:01 16:18:11,2807
1,2023:01:01 16:18:41,748.7
2,2023:01:01 16:18:41,2829.7
3,2023:01:01 16:18:41,751.8
1,2023:01:01 16:19:11,817.7
2,2023:01:01 16:19:11,1777.3
3,2023:01:01 16:19:11,3227
1,2023:01:01 16:19:41,176.3
2,2023:01:01 16:19:41,266.8
3,2023:01:01 16:19:41,1719.2
1,2023:01:01 16:20:11,1398.5
2,2023:01:01 16:20:11,310.2
3,2023:01:01 16:20:11,848
1,2023:01:01 16:20:41,2921.3
2,2023:01:01 16:20:41,762.7
3,2023:01:01 16:20:41,480.2
1,2023:01:01 16:21:11,409.9
2,2023:01:01 16:21:11,3052.7
3,2023:01:01 16:21:11,262.5
1,2023:01:01 16:21:41,154.3
2,2023:01:01 16:21:41,192.4
3,2023:01:01 16:21:41,1102.3
1,2023:01:01 16:22:11,2997.2
2,2023:01:01 16:22:11,1306.1
3,2023:01:01 16:22:11,1418.1
1,2023:01:01 16:22:41,3100.3
2,2023:01:01 16:22:41,2743.2
3,2023:01:01 16:22:41,1750.5
1,2023:01:01 16:23:11,2759.3
2,2023:01:01 16:23:11,2272.5
3,2023:01:01 16:23:11,1303.1
1,2023:01:01 16:23:41,849.2
2,2023:01:01 16:23:41,14.2
3,2023:01:01 16:23:41,1722.2
1,2023:01:01 16:24:11,3128.6
2,2023:01:01 16:24:11,1306.4
3,2023:01:01 16:24:11,790
1,2023:01:01 16:24:41,1918.7
2,2023:01:01 16:24:41,836
3,2023:01:01 16:24:41,2241.3
1,2023:01:01 16:25:11,3097.4
2,2023:01:01 16:25:11,1427
3,2023:01:01 16:25:11,2917
1,2023:01:01 16:25:41,23.5
2,2023:01:01 16:25:41,3083.3
3,2023:01:01 16:25:41,1971.1
1,2023:01:01 16:26:11,2576
2,2023:01:01 16:26:11,1889.6
3,2023:01:01 16:26:11,466.7
1,2023:01:01 16:26:41,728.5
2,2023:01:01 16:26:41,1255
3,2023:01:01 16:26:41,14
1,2023:01:01 16:27:11,1369.4
2,2023:01:01 16:27:11,269.5
3,2023:01:01 16:27:11,2162.4
1,2023:01:01 16:27:41,2801.9
2,2023:01:01 16:27:41,212.5
3,2023:01:01 16:27:41,2657.6
1,2023:01:01 16:28:11,2169.4
2,2023:01:01 16:28:11,2265.8
3,2023:01:01 16:28:11,2630.2
1,2023:01:01 16:28:41,1737.1
2,2023:01:01 16:28:41,2246.6
3,2023:01:01 16:28:41,467.8
1,2023:01:01 16:29:11,2259.3
2,2023:01:01 16:29:11,2385.1
3,2023:01:01 16:29:11,2548.4
1,2023:01:01 16:29:41,101.8
2,2023:01:01 16:29:41,2846.4
3,2023:01:01 16:29:41,2111.9
1,2023:01:01 16:30:11,2315.2
2,2023:01:01 16:30:11,280
3,2023:01:01 16:30:11,1808.7
1,2023:01:01 16:30:41,3106
2,2023:01:01 16:30:41,192.6
3,2023:01:01 16:30:41,901
1,2023:01:01 16:31:11,475.7
2,2023:01:01 16:31:11,3217
3,2023:01:01 16:31:11,2031.5
1,2023:01:01 16:31:41,957.6
2,2023:01:01 16:31:41,3022.7
3,2023:01:01 16:31:41,1204.3
1,2023:01:01 16:32:11,2275.8
2,2023:01:01 16:32:11,716.4
3,2023:01:01 16:32:11,510.9
1,2023:01:01 16:32:41,788.2
2,2023:01:01 16:32:41,1708.6
3,2023:01:01 16:32:41,2956.5
1,2023:01:01 16:33:11,348.7
2,2023:01:01 16:33:11,2957.7
3,2023:01:01 16:33:11,1447.4
1,2023:01:01 16:33:41,262.5
2,2023:01:01 16:33:41,2562.7
3,2023:01:01 16:33:41,562.9
1,2023:01:01 16:34:11,3192.8
2,2023:01:01 16:34:11,2542.3
3,2023:01:01 16:34:11,2852
1,2023:01:01 16:34:41,690.2
2,2023:01:01 16:34:41,1496.2
3,2023:01:01 16:34:41,12.3
1,2023:01:01 16:35:11,2459.6
2,2023:01:01 16:35:11,373.7
3,2023:01:01 16:35:11,1326.1
1,2023:01:01 16:35:41,1019.5
2,2023:01:01 16:35:41,3252.5
3,2023:01:01 16:35:41,126.4
1,2023:01:01 16:36:11,826
2,2023:01:01 16:36:11,620.2
3,2023:01:01 16:36:11,811.6
1,2023:01:01 16:36:41,503
2,2023:01:01 16:36:41,2032.6
3,2023:01:01 16:36:41,2901.1
1,2023:01:01 16:37:11,3077.1
2,2023:01:01 16:37:11,641.1
3,2023:01:01 16:37:11,2554.7
1,2023:01:01 16:37:41,2115.3
2,2023:01:01 16:37:41,2152
3,2023:01:01 16:37:41,2979
1,2023:01:01 16:38:11,1492.4
2,2023:01:01 16:38:11,3018.8
3,2023:01:01 16:38:11,2176.3
1,2023:01:01 16:38:41,494
2,2023:01:01 16:38:41,2085.1
3,2023:01:01 16:38:41,1866.2
1,2023:01:01 16:39:11,1382.9
2,2023:01:01 16:39:11,3090
3,2023:01:01 16:39:11,1771.3
1,2023:01:01 16:39:41,1895.8
2,2023:01:01 16:39:41,1757.8
3,2023:01:01 16:39:41,836.5
1,2023:01:01 16:40:11,1300.7
2,2023:01:01 16:40:11,1147.7
3,2023:01:01 16:40:11,120
1,2023:01:01 16:40:41,2605.8
2,2023:01:01 16:40:41,643.9
3,2023:01:01 16:40:41,230.3
1,2023:01:01 16:41:11,1276
2,2023:01:01 16:41:11,1935.7
3,2023:01:01 16:41:11,232.4
1,2023:01:01 16:41:41,647.7
2,2023:01:01 16:41:41,510.8
3,2023:01:01 16:41:41,2111.3
1,2023:01:01 16:42:11,1488.7
2,2023:01:01 16:42:11,1980.1
3,2023:01:01 16:42:11,2285
1,2023:01:01 16:42:41,1446
2,2023:01:01 16:42:41,2242.8
3,2023:01:01 16:42:41,1299.3
1,2023:01:01 16:43:11,2738.4
2,2023:01:01 16:43:11,1940.5
3,2023:01:01 16:43:11,654
1,2023:01:01 16:43:41,3111.1
2,2023:01:01 16:43:41,2870.4
3,2023:01:01 16:43:41,1283.5
1,2023:01:01 16:44:11,3235.6
2,2023:01:01 16:44:11,607.2
3,2023:01:01 16:44:11,2935
1,2023:01:01 16:44:41,1882.3
2,2023:01:01 16:44:41,1448.5
3,2023:01:01 16:44:41,2055.6
1,2023:01:01 16:45:11,2321.6
2,2023:01:01 16:45:11,162.6
3,2023:01:01 16:45:11,935.7
1,2023:01:01 16:45:41,852.6
2,2023:01:01 16:45:41,1335.7
3,2023:01:01 16:45:41,2933.7
1,2023:01:01 16:46:11,2327.1
2,2023:01:01 16:46:11,2386.9
3,2023:01:01 16:46:11,2936.1
1,2023:01:01 16:46:41,1289.6
2,2023:01:01 16:46:41,1302.2
3,2023:01:01 16:46:41,2961.7
1,2023:01:01 16:47:11,1011.2
2,2023:01:01 16:47:11,1271.7
3,2023:01:01 16:47:11,1869.6
1,2023:01:01 16:47:41,1158.5
2,2023:01:01 16:47:41,2404.1
3,2023:01:01 16:47:41,2442.3
1,2023:01:01 16:48:11,2412.9
2,2023:01:01 16:48:11,2422.9
3,2023:01:01 16:48:11,456.5
1,2023:01:01 16:48:41,655.9
2,2023:01:01 16:48:41,893.2
3,2023:01:01 16:48:41,2229.6
1,2023:01:01 16:49:11,2985.5
2,2023:01:01 16:49:11,1205.3
3,2023:01:01 16:49:11,1696.2
1,2023:01:01 16:49:41,358.4
2,2023:01:01 16:49:41,2973.4
3,2023:01:01 16:49:41,665.4
1,2023:01:01 16:50:11,1697.2
2,2023:01:01 16:50:11,2145.7
3,2023:01:01 16:50:11,1436.9
1,2023:01:01 16:50:41,2253.2
2,2023:01:01 16:50:41,296.3
3,2023:01:01 16:50:41,260.7
1,2023:01:01 16:51:11,248.3
2,2023:01:01 16:51:11,91.1
3,2023:01:01 16:51:11,1163.5
1,2023:01:01 16:51:41,1006.7
2,2023:01:01 16:51:41,2284.8
3,2023:01:01 16:51:41,467.5
1,2023:01:01 16:52:11,1293.8
2,2023:01:01 16:52:11,222.3
3,2023:01:01 16:52:11,2214.2
1,2023:01:01 16:52:41,2375.4
2,2023:01:01 16:52:41,651.1
3,2023:01:01 16:52:41,2274.1
1,2023:01:01 16:53:11,2017.5
2,2023:01:01 16:53:11,2145.9
3,2023:01:01 16:53:11,1782.5
1,2023:01:01 16:53:41,322.1
2,2023:01:01 16:53:41,1787
3,2023:01:01 16:53:41,162.6
1,2023:01:01 16:54:11,3193.4
2,2023:01:01 16:54:11,1520.5
3,2023:01:01 16:54:11,3178.3
1,2023:01:01 16:54:41,2385
2,2023:01:01 16:54:41,1739.8
3,2023:01:01 16:54:41,2227.9
1,2023:01:01 16:55:11,2270.1
2,2023:01:01 16:55:11,1219.3
3,2023:01:01 16:55:11,1273.4
1,2023:01:01 16:55:41,163.7
2,2023:01:01 16:55:41,2653.4
3,2023:01:01 16:55:41,555.6
1,2023:01:01 16:56:11,199.3
2,2023:01:01 16:56:11,1017.6
3,2023:01:01 16:56:11,2570.5
1,2023:01:01 16:56:41,696.2
2,2023:01:01 16:56:41,1054.8
3,2023:01:01 16:56:41,1588.1
1,2023:01:01 16:57:11,30
2,2023:01:01 16:57:11,1441.3
3,2023:01:01 16:57:11,1664.1
1,2023:01:01 16:57:41,1985.5
2,2023:01:01 16:57:41,2485.5
3,2023:01:01 16:57:41,1314.2
1,2023:01:01 16:58:11,1146.2
2,2023:01:01 16:58:11,2761.1
3,2023:01:01 16:58:11,3087.7
1,2023:01:01 16:58:41,2042.4
2,2023:01:01 16:58:41,3267.8
3,2023:01:01 16:58:41,175.2
1,2023:01:01 16:59:11,1844.3
2,2023:01:01 16:59:11,2829.6
3,2023:01:01 16:59:11,1267.3
1,2023:01:01 16:59:41,1004
2,2023:01:01 16:59:41,931.3
3,2023:01:01 16:59:41,87.5
1,2023:01:01 17:00:11,2007.2
2,2023:01:01 17:00:11,1281.8
3,2023:01:01 17:00:11,61
1,2023:01:01 17:00:41,101.7
2,2023:01:01 17:00:41,1493.2
3,2023:01:01 17:00:41,2811.2
1,2023:01:01 17:01:11,3069.5
2,2023:01:01 17:01:11,1316.9
3,2023:01:01 17:01:11,2383.1
1,2023:01:01 17:01:41,2004
2,2023:01:01 17:01:41,2648.8
3,2023:01:01 17:01:41,2868.5
1,2023:01:01 17:02:11,1909
2,2023:01:01 17:02:11,1949.7
3,2023:01:01 17:02:11,258.9
1,2023:01:01 17:02:41,2599
2,2023:01:01 17:02:41,1514.5
3,2023:01:01 17:02:41,1935.3
1,2023:01:01 17:03:11,1931.4
2,2023:01:01 17:03:11,1865.1
3,2023:01:01 17:03:11,2674
1,2023:01:01 17:03:41,2204.4
2,2023:01:01 17:03:41,1125.8
3,2023:01:01 17:03:41,33.5
1,2023:01:01 17:04:11,875.9
2,2023:01:01 17:04:11,1119.2
3,2023:01:01 17:04:11,760.5
1,2023:01:01 17:04:41,2526.4
2,2023:01:01 17:04:41,1218.1
3,2023:01:01 17:04:41,2850.3
1,2023:01:01 17:05:11,382.9
2,2023:01:01 17:05:11,2377.5
3,2023:01:01 17:05:11,2060.8
1,2023:01:01 17:05:41,2929.2
2,2023:01:01 17:05:41,599.7
3,2023:01:01 17:05:41,1754.9
1,2023:01:01 17:06:11,2955.6
2,2023:01:01 17:06:11,2556.1
3,2023:01:01 17:06:11,3162.7
1,2023:01:01 17:06:41,646.7
2,2023:01:01 17:06:41,2954.1
3,2023:01:01 17:06:41,2612.9
1,2023:01:01 17:07:11,3124
2,2023:01:01 17:07:11,2781.3
3,2023:01:01 17:07:11,2917.4
1,2023:01:01 17:07:41,2060.1
2,2023:01:01 17:07:41,607.7
3,2023:01:01 17:07:41,2021.5
1,2023:01:01 17:08:11,868.3
2,2023:01:01 17:08:11,821.3
3,2023:01:01 17:08:11,2399.2
1,2023:01:01 17:08:41,2582.4
2,2023:01:01 17:08:41,560.1
3,2023:01:01 17:08:41,2339.2
1,2023:01:01 17:09:11,1575.9
2,2023:01:01 17:09:11,267
3,2023:01:01 17:09:11,2642.8
1,2023:01:01 17:09:41,2802.7
2,2023:01:01 17:09:41,408.4
3,2023:01:01 17:09:41,1007.5
1,2023:01:01 17:10:11,1878.6
2,2023:01:01 17:10:11,1549.8
3,2023:01:01 17:10:11,2497
1,2023:01:01 17:10:41,628.7
2,2023:01:01 17:10:41,2384.7
3,2023:01:01 17:10:41,3260.4
1,2023:01:01 17:11:11,50.3
2,2023:01:01 17:11:11,2122.1
3,2023:01:01 17:11:11,2266.3
1,2023:01:01 17:11:41,570.6
2,2023:01:01 17:11:41,236.3
3,2023:01:01 17:11:41,901
